OBJECTID,lat,long,monthave,date,site,name,month,day,year,dateorig,doy
149,39.0824,-96.5603,0.803708017,2009-7-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),7,15,2009,7/15/2009 0:00,196
150,39.0824,-96.5603,0.664358854,2009-8-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),8,15,2009,8/15/2009 0:00,227
151,39.0824,-96.5603,0.351778001,2009-9-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),9,15,2009,9/15/2009 0:00,258
152,39.0824,-96.5603,0.111828156,2009-10-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),10,15,2009,10/15/2009 0:00,288
153,39.0824,-96.5603,0.053329676,2009-11-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),11,15,2009,11/15/2009 0:00,319
154,39.0824,-96.5603,0.044700053,2009-12-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),12,15,2009,12/15/2009 0:00,349
155,39.0824,-96.5603,0.039095223,2010-2-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),2,15,2010,2/15/2010 0:00,46
156,39.0824,-96.5603,0.069733359,2010-3-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),3,15,2010,3/15/2010 0:00,74
157,39.0824,-96.5603,0.338320374,2010-4-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),4,15,2010,4/15/2010 0:00,105
158,39.0824,-96.5603,0.503554165,2010-5-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),5,15,2010,5/15/2010 0:00,135
159,39.0824,-96.5603,0.54531002,2010-6-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),6,15,2010,6/15/2010 0:00,166
160,39.0824,-96.5603,0.825907707,2010-7-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),7,15,2010,7/15/2010 0:00,196
161,39.0824,-96.5603,0.450956434,2010-8-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),8,15,2010,8/15/2010 0:00,227
162,39.0824,-96.5603,0.340677202,2010-9-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),9,15,2010,9/15/2010 0:00,258
163,39.0824,-96.5603,0.171078458,2010-10-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),10,15,2010,10/15/2010 0:00,288
